movie,actor
Avatar,Mark Frechette
Avatar,Carolyn Mitchell
Avatar,Harriet Lenabe
Avatar,Peter Coyote
Star Wars,Tom Guiry
Star Wars,Robin Williams
Star Wars,Gary Oldman
Star Wars,Murvyn Vye
Forrest Gump,Kevin Smith
Forrest Gump,Anne-Marie Kennedy
Forrest Gump,Thomas Tierney
Forrest Gump,Wendy Makkena
American Beauty,Joseph Cotten
American Beauty,Orson Bean
American Beauty,Agnes Bruckner
American Beauty,Ruth Roman
Citizen Kane,Sean Barry-Weske
Citizen Kane,Margot Kidder
Citizen Kane,Richard Egan
Citizen Kane,Maurice Gibb
The Dark,Bruce Welch
The Dark,Mili Avital
The Dark,Gary Merrill
The Dark,Ian Hendry
The Fifth Element,Martin Shaw
The Fifth Element,Marlene Dietrich
The Fifth Element,Robert Downey Jr.
The Fifth Element,Lauren Hutton
Apocalypse Now,Clifton Webb
Apocalypse Now,Morey Amsterdam
Apocalypse Now,Gene Evans
Apocalypse Now,Richard Griffiths
Unforgiven,Brad Greenquist
Unforgiven,Bruce Welch
Unforgiven,Madeleine Carroll
Unforgiven,Christopher Penn
Twelve Monkeys,Clifton Webb
Twelve Monkeys,Gene Evans
Twelve Monkeys,Ed Flanders
Twelve Monkeys,Scott Caan
Absolute Power,Jonathan Penner
Absolute Power,Robert Cummings
Absolute Power,Katherine Heigl
Absolute Power,Ian Hendry
Brazil,Edward Judd
Brazil,Edward Fox
Brazil,Beverly Bonner
Brazil,Ava Gardner
American History X,Jack Nance
American History X,Glenn Anders
American History X,Anne-Marie Kennedy
American History X,Pier Angeli
Mars Attacks!,Ethan Embry
Mars Attacks!,Julie Cox
Mars Attacks!,Andre Gregory
Mars Attacks!,Hannes Jaenicke
Before Sunrise,Harriet Lenabe
Before Sunrise,Rusty Schwimmer
Before Sunrise,Sean Penn
Before Sunrise,Edward Herrmann
Blade Runner,Harriet Lenabe
Blade Runner,Kareem Abdul-Jabbar
Blade Runner,Paul Fix
Blade Runner,Ronald Colman
Raiders of the Lost Ark,Harriet Lenabe
Raiders of the Lost Ark,Kate Burton
Raiders of the Lost Ark,Jonathan Jackson
Raiders of the Lost Ark,Amber Tamblyn
Indiana Jones and the Temple of Doom,Jennifer Garner
Indiana Jones and the Temple of Doom,Patrick Stewart
Indiana Jones and the Temple of Doom,Cynthia Patrick
Indiana Jones and the Temple of Doom,Jerry O'Connell
Dirty Dancing,Harriet Lenabe
Dirty Dancing,Sean Combs
Dirty Dancing,Demi Moore
Dirty Dancing,Alisan Porter
Indiana Jones and the Last Crusade,Eddie Mayehoff
Indiana Jones and the Last Crusade,Jude Law
Indiana Jones and the Last Crusade,John Amos
Indiana Jones and the Last Crusade,Lisa Eichhorn
Beverly Hills Cop,James Stacy
Beverly Hills Cop,Lee Marvin
Beverly Hills Cop,Ben Foster
Beverly Hills Cop,Arthur Lake
Anatomy of a Murder,Bruce Welch
Anatomy of a Murder,Billie Whitelaw
Anatomy of a Murder,Bella Randles
Anatomy of a Murder,Little Richard
Armageddon,Eddie Mayehoff
Armageddon,Jude Law
Armageddon,John Amos
Armageddon,Jörg Schüttauf
Beverly Hills Cop II,Jeff Anderson
Beverly Hills Cop II,Bruce Bennett
Beverly Hills Cop II,David Tress
Beverly Hills Cop II,Cillian Murphy
Tron,Russell Brand
Tron,Joaquim de Almeida
Tron,Connie Mason
Tron,Oliver Pratt
Gladiator,Robert Cummings
Gladiator,Jock Mahoney
Gladiator,Alastair Sim
Gladiator,Harvey Fierstein
Taxi Driver,Michael Ironside
Taxi Driver,Christopher Lee
